,STATE,zipcode
3574,AK,99501
3580,AK,99502
3586,AK,99503
3592,AK,99504
3610,AK,99507
3616,AK,99508
3622,AK,99510
3628,AK,99515
3640,AK,99517
3646,AK,99518
3658,AK,99540
3688,AK,99556
3700,AK,99559
3718,AK,99567
3730,AK,99572
3736,AK,99573
3742,AK,99574
3748,AK,99576
3754,AK,99577
3784,AK,99587
3808,AK,99603
3820,AK,99605
3838,AK,99610
3844,AK,99611
3856,AK,99613
3868,AK,99615
3922,AK,99633
3946,AK,99639
3958,AK,99645
3970,AK,99652
3982,AK,99654
4030,AK,99663
4036,AK,99664
4042,AK,99669
4054,AK,99672
4060,AK,99674
4066,AK,99676
4096,AK,99683
4108,AK,99685
4114,AK,99686
4120,AK,99688
4132,AK,99692
4138,AK,99693
4150,AK,99701
4156,AK,99702
4162,AK,99703
4168,AK,99705
4180,AK,99709
4186,AK,99712
4192,AK,99714
4210,AK,99723
4228,AK,99737
4252,AK,99743
4294,AK,99755
4360,AK,99780
4396,AK,99801
4408,AK,99824
4420,AK,99827
4426,AK,99829
4432,AK,99830
4438,AK,99833
4444,AK,99835
4450,AK,99840
4456,AK,99901
4468,AK,99921
4492,AK,99929
9842,CA,90001
9848,CA,90002
9854,CA,90003
9860,CA,90004
9866,CA,90005
9872,CA,90006
9878,CA,90007
9884,CA,90008
9890,CA,90010
9896,CA,90011
9902,CA,90012
9908,CA,90013
9914,CA,90014
9920,CA,90015
9926,CA,90016
9932,CA,90017
9938,CA,90018
9944,CA,90019
9950,CA,90020
9956,CA,90021
9962,CA,90022
9968,CA,90023
9974,CA,90024
9980,CA,90025
9986,CA,90026
9992,CA,90027
9998,CA,90028
10004,CA,90029
10010,CA,90031
10016,CA,90032
10022,CA,90033
10028,CA,90034
10034,CA,90035
10040,CA,90036
10046,CA,90037
10052,CA,90038
10058,CA,90039
10064,CA,90040
10070,CA,90041
10076,CA,90042
10082,CA,90043
10088,CA,90044
10094,CA,90045
10100,CA,90046
10106,CA,90047
10112,CA,90048
10118,CA,90049
10124,CA,90056
10130,CA,90057
10136,CA,90058
10142,CA,90059
10148,CA,90061
10154,CA,90062
10160,CA,90063
10166,CA,90064
10172,CA,90065
10178,CA,90066
10184,CA,90067
10190,CA,90068
10196,CA,90069
10202,CA,90071
10208,CA,90077
10214,CA,90094
10220,CA,90201
10226,CA,90210
10232,CA,90211
10238,CA,90212
10244,CA,90220
10250,CA,90221
10256,CA,90222
10262,CA,90230
10268,CA,90232
10274,CA,90240
10280,CA,90241
10286,CA,90242
10292,CA,90245
10298,CA,90247
10304,CA,90248
10310,CA,90249
10316,CA,90250
10322,CA,90254
10328,CA,90255
10334,CA,90260
10340,CA,90262
10346,CA,90265
10352,CA,90266
10358,CA,90270
10364,CA,90272
10370,CA,90274
10376,CA,90275
10382,CA,90277
10388,CA,90278
10394,CA,90280
10400,CA,90290
10406,CA,90291
10412,CA,90292
10418,CA,90293
10424,CA,90301
10430,CA,90302
10436,CA,90303
10442,CA,90304
10448,CA,90305
10454,CA,90401
10460,CA,90402
10466,CA,90403
10472,CA,90404
10478,CA,90405
10484,CA,90501
10490,CA,90502
10496,CA,90503
10502,CA,90504
10508,CA,90505
10514,CA,90601
10520,CA,90602
10526,CA,90603
10532,CA,90604
10538,CA,90605
10544,CA,90606
10550,CA,90620
10556,CA,90621
10562,CA,90623
10568,CA,90630
10574,CA,90631
10580,CA,90638
10586,CA,90640
10592,CA,90650
10598,CA,90660
10604,CA,90670
10610,CA,90680
10616,CA,90701
10622,CA,90703
10628,CA,90704
10634,CA,90706
10640,CA,90710
10646,CA,90712
10652,CA,90713
10658,CA,90715
10664,CA,90716
10670,CA,90717
10676,CA,90720
10682,CA,90723
10688,CA,90731
10694,CA,90732
10700,CA,90740
10706,CA,90742
10712,CA,90743
10718,CA,90744
10724,CA,90745
10730,CA,90746
10736,CA,90755
10742,CA,90802
10748,CA,90803
10754,CA,90804
10760,CA,90805
10766,CA,90806
10772,CA,90807
10778,CA,90808
10784,CA,90810
10790,CA,90813
10796,CA,90814
10802,CA,90815
10808,CA,91001
10814,CA,91006
10820,CA,91007
10832,CA,91010
10838,CA,91011
10844,CA,91016
10850,CA,91020
10856,CA,91024
10862,CA,91030
10868,CA,91040
10874,CA,91042
10886,CA,91101
10892,CA,91103
10898,CA,91104
10904,CA,91105
10910,CA,91106
10916,CA,91107
10922,CA,91108
10928,CA,91201
10934,CA,91202
10940,CA,91203
10946,CA,91204
10952,CA,91205
10958,CA,91206
10964,CA,91207
10970,CA,91208
10976,CA,91210
10982,CA,91214
10988,CA,91301
10994,CA,91302
11000,CA,91303
11006,CA,91304
11012,CA,91306
11018,CA,91307
11024,CA,91311
11030,CA,91316
11036,CA,91320
11042,CA,91321
11048,CA,91324
11054,CA,91325
11060,CA,91326
11066,CA,91331
11072,CA,91335
11078,CA,91340
11084,CA,91342
11090,CA,91343
11096,CA,91344
11102,CA,91345
11108,CA,91350
11114,CA,91351
11120,CA,91352
11126,CA,91354
11132,CA,91355
11138,CA,91356
11144,CA,91360
11150,CA,91361
11156,CA,91362
11162,CA,91364
11168,CA,91367
11174,CA,91377
11180,CA,91381
11186,CA,91384
11192,CA,91387
11198,CA,91390
11204,CA,91401
11210,CA,91402
11216,CA,91403
11222,CA,91405
11228,CA,91406
11234,CA,91411
11240,CA,91423
11246,CA,91436
11252,CA,91501
11258,CA,91502
11264,CA,91504
11270,CA,91505
11276,CA,91506
11282,CA,91601
11288,CA,91602
11294,CA,91604
11300,CA,91605
11306,CA,91606
11312,CA,91607
11318,CA,91701
11324,CA,91702
11330,CA,91706
11342,CA,91709
11348,CA,91710
11354,CA,91711
11360,CA,91722
11366,CA,91723
11372,CA,91724
11378,CA,91730
11384,CA,91731
11390,CA,91732
11396,CA,91733
11402,CA,91737
11408,CA,91739
11414,CA,91740
11420,CA,91741
11426,CA,91744
11432,CA,91745
11438,CA,91746
11444,CA,91748
11450,CA,91750
11456,CA,91752
11462,CA,91754
11468,CA,91755
11474,CA,91759
11480,CA,91761
11486,CA,91762
11492,CA,91763
11498,CA,91764
11504,CA,91765
11510,CA,91766
11516,CA,91767
11522,CA,91768
11528,CA,91770
11534,CA,91773
11540,CA,91775
11546,CA,91776
11552,CA,91780
11558,CA,91784
11564,CA,91786
11570,CA,91789
11576,CA,91790
11582,CA,91791
11588,CA,91792
11594,CA,91801
11600,CA,91803
11606,CA,91901
11612,CA,91902
11618,CA,91905
11624,CA,91906
11630,CA,91910
11636,CA,91911
11642,CA,91913
11648,CA,91914
11654,CA,91915
11660,CA,91916
11666,CA,91917
11678,CA,91932
11684,CA,91934
11690,CA,91935
11696,CA,91941
11702,CA,91942
11708,CA,91945
11714,CA,91950
11720,CA,91962
