,index,zip_code,category1,category2,category3,category4,category5,all,list_cat,cat_list
0,1,90001,mexican desserts bakeries foodtrucks burgers pizza streetvendors salvadoran chinese tacos icecream seafoodmarkets,? chocolate cupcakes seafood comfortfood mexican herbsandspices burgers sandwiches vietnamese juicebars tradamerican breakfast_brunch gelato vegan icecream japanese,? customcakes sandwiches hotdog catering comfortfood foodtrucks,?,?,mexican desserts bakeries foodtrucks burgers pizza streetvendors salvadoran chinese tacos icecream seafoodmarkets ? chocolate cupcakes seafood comfortfood mexican herbsandspices burgers sandwiches vietnamese juicebars tradamerican breakfast_brunch gelato vegan icecream japanese ? customcakes sandwiches hotdog catering comfortfood foodtrucks ? ?,"['?' 'bakeries' 'breakfast_brunch' 'burgers' 'catering' 'chinese'
 'chocolate' 'comfortfood' 'cupcakes' 'customcakes' 'desserts'
 'foodtrucks' 'gelato' 'herbsandspices' 'hotdog' 'icecream' 'japanese'
 'juicebars' 'mexican' 'pizza' 'salvadoran' 'sandwiches' 'seafood'
 'seafoodmarkets' 'streetvendors' 'tacos' 'tradamerican' 'vegan'
 'vietnamese']","['?' 'bakeries' 'breakfast_brunch' 'burgers' 'catering' 'chinese'
 'chocolate' 'comfortfood' 'cupcakes' 'customcakes' 'desserts'
 'foodtrucks' 'gelato' 'herbsandspices' 'hotdog' 'icecream' 'japanese'
 'juicebars' 'mexican' 'pizza' 'salvadoran' 'sandwiches' 'seafood'
 'seafoodmarkets' 'streetvendors' 'tacos' 'tradamerican' 'vegan'
 'vietnamese']"
1,2,90002,salvadoran chinese coffee,? juicebars breakfast_brunch,? desserts,?,?,salvadoran chinese coffee ? juicebars breakfast_brunch ? desserts ? ?,"['?' 'breakfast_brunch' 'chinese' 'coffee' 'desserts' 'juicebars'
 'salvadoran']","['?' 'breakfast_brunch' 'chinese' 'coffee' 'desserts' 'juicebars'
 'salvadoran']"
2,3,90003,mexican foodtrucks soulfood bakeries pizza seafood hotdogs foodstands japanese juicebars salvadoran latin burgers breakfast_brunch seafoodmarkets,foodstands mexican ? noodles sandwiches soulfood bbq breakfast_brunch fishnchips,? tradamerican waffles soulfood,?,?,mexican foodtrucks soulfood bakeries pizza seafood hotdogs foodstands japanese juicebars salvadoran latin burgers breakfast_brunch seafoodmarkets foodstands mexican ? noodles sandwiches soulfood bbq breakfast_brunch fishnchips ? tradamerican waffles soulfood ? ?,"['?' 'bakeries' 'bbq' 'breakfast_brunch' 'burgers' 'fishnchips'
 'foodstands' 'foodtrucks' 'hotdogs' 'japanese' 'juicebars' 'latin'
 'mexican' 'noodles' 'pizza' 'salvadoran' 'sandwiches' 'seafood'
 'seafoodmarkets' 'soulfood' 'tradamerican' 'waffles']","['?' 'bakeries' 'bbq' 'breakfast_brunch' 'burgers' 'fishnchips'
 'foodstands' 'foodtrucks' 'hotdogs' 'japanese' 'juicebars' 'latin'
 'mexican' 'noodles' 'pizza' 'salvadoran' 'sandwiches' 'seafood'
 'seafoodmarkets' 'soulfood' 'tradamerican' 'waffles']"
3,4,90004,bakeries salvadoran sushi coffee breakfast_brunch korean bbq desserts gastropubs thai vegan beer_and_wine pizza newamerican colombian icecream,coffee ? cafes vegan comfortfood chinese korean tea vegetarian sandwiches asianfusion salad breakfast_brunch japanese noodles foodstands,cakeshop ? vegetarian soup noodles korean german breakfast_brunch cheese bakeries italian cafes gluten_free,?,?,bakeries salvadoran sushi coffee breakfast_brunch korean bbq desserts gastropubs thai vegan beer_and_wine pizza newamerican colombian icecream coffee ? cafes vegan comfortfood chinese korean tea vegetarian sandwiches asianfusion salad breakfast_brunch japanese noodles foodstands cakeshop ? vegetarian soup noodles korean german breakfast_brunch cheese bakeries italian cafes gluten_free ? ?,"['?' 'asianfusion' 'bakeries' 'bbq' 'beer_and_wine' 'breakfast_brunch'
 'cafes' 'cakeshop' 'cheese' 'chinese' 'coffee' 'colombian' 'comfortfood'
 'desserts' 'foodstands' 'gastropubs' 'german' 'gluten_free' 'icecream'
 'italian' 'japanese' 'korean' 'newamerican' 'noodles' 'pizza' 'salad'
 'salvadoran' 'sandwiches' 'soup' 'sushi' 'tea' 'thai' 'vegan'
 'vegetarian']","['?' 'asianfusion' 'bakeries' 'bbq' 'beer_and_wine' 'breakfast_brunch'
 'cafes' 'cakeshop' 'cheese' 'chinese' 'coffee' 'colombian' 'comfortfood'
 'desserts' 'foodstands' 'gastropubs' 'german' 'gluten_free' 'icecream'
 'italian' 'japanese' 'korean' 'newamerican' 'noodles' 'pizza' 'salad'
 'salvadoran' 'sandwiches' 'soup' 'sushi' 'tea' 'thai' 'vegan'
 'vegetarian']"
4,5,90005,vietnamese korean chicken_wings lounges thai japanese bubbletea beerbar breakfast_brunch desserts cafes coffee latin argentine steak ramen salvadoran chinese karaoke donuts foodtrucks,? bbq korean steak desserts coffee tapasmallplates newamerican icecream italian soup bakeries peruvian noodles chicken_wings hotpot izakaya japanese hotdogs sandwiches,? bars burgers soup korean juicebars cocktailbars shavedice breakfast_brunch chickenshop empanadas asianfusion sportsbars sushi sandwiches,?,?,vietnamese korean chicken_wings lounges thai japanese bubbletea beerbar breakfast_brunch desserts cafes coffee latin argentine steak ramen salvadoran chinese karaoke donuts foodtrucks ? bbq korean steak desserts coffee tapasmallplates newamerican icecream italian soup bakeries peruvian noodles chicken_wings hotpot izakaya japanese hotdogs sandwiches ? bars burgers soup korean juicebars cocktailbars shavedice breakfast_brunch chickenshop empanadas asianfusion sportsbars sushi sandwiches ? ?,"['?' 'argentine' 'asianfusion' 'bakeries' 'bars' 'bbq' 'beerbar'
 'breakfast_brunch' 'bubbletea' 'burgers' 'cafes' 'chicken_wings'
 'chickenshop' 'chinese' 'cocktailbars' 'coffee' 'desserts' 'donuts'
 'empanadas' 'foodtrucks' 'hotdogs' 'hotpot' 'icecream' 'italian'
 'izakaya' 'japanese' 'juicebars' 'karaoke' 'korean' 'latin' 'lounges'
 'newamerican' 'noodles' 'peruvian' 'ramen' 'salvadoran' 'sandwiches'
 'shavedice' 'soup' 'sportsbars' 'steak' 'sushi' 'tapasmallplates' 'thai'
 'vietnamese']","['?' 'argentine' 'asianfusion' 'bakeries' 'bars' 'bbq' 'beerbar'
 'breakfast_brunch' 'bubbletea' 'burgers' 'cafes' 'chicken_wings'
 'chickenshop' 'chinese' 'cocktailbars' 'coffee' 'desserts' 'donuts'
 'empanadas' 'foodtrucks' 'hotdogs' 'hotpot' 'icecream' 'italian'
 'izakaya' 'japanese' 'juicebars' 'karaoke' 'korean' 'latin' 'lounges'
 'newamerican' 'noodles' 'peruvian' 'ramen' 'salvadoran' 'sandwiches'
 'shavedice' 'soup' 'sportsbars' 'steak' 'sushi' 'tapasmallplates' 'thai'
 'vietnamese']"
5,6,90006,icecream korean donuts chinese bbq latin mexican bakeries nicaraguan cuban tacos coffee indpak japanese foodtrucks divebars salvadoran food greek burgers vietnamese grocery,juicebars bbq bakeries ? comfortfood japanese korean soup nicaraguan tradamerican mexican coffeeroasteries halal ramen chicken_wings cocktailbars newamerican gourmet sandwiches arts mediterranean seafood salvadoran,sandwiches ? soup coffee hotpot himalayan beerbar chicken_wings greek noodles bbq burgers shavedice mexican,? mediterranean,?,icecream korean donuts chinese bbq latin mexican bakeries nicaraguan cuban tacos coffee indpak japanese foodtrucks divebars salvadoran food greek burgers vietnamese grocery juicebars bbq bakeries ? comfortfood japanese korean soup nicaraguan tradamerican mexican coffeeroasteries halal ramen chicken_wings cocktailbars newamerican gourmet sandwiches arts mediterranean seafood salvadoran sandwiches ? soup coffee hotpot himalayan beerbar chicken_wings greek noodles bbq burgers shavedice mexican ? mediterranean ?,"['?' 'arts' 'bakeries' 'bbq' 'beerbar' 'burgers' 'chicken_wings' 'chinese'
 'cocktailbars' 'coffee' 'coffeeroasteries' 'comfortfood' 'cuban'
 'divebars' 'donuts' 'food' 'foodtrucks' 'gourmet' 'greek' 'grocery'
 'halal' 'himalayan' 'hotpot' 'icecream' 'indpak' 'japanese' 'juicebars'
 'korean' 'latin' 'mediterranean' 'mexican' 'newamerican' 'nicaraguan'
 'noodles' 'ramen' 'salvadoran' 'sandwiches' 'seafood' 'shavedice' 'soup'
 'tacos' 'tradamerican' 'vietnamese']","['?' 'arts' 'bakeries' 'bbq' 'beerbar' 'burgers' 'chicken_wings' 'chinese'
 'cocktailbars' 'coffee' 'coffeeroasteries' 'comfortfood' 'cuban'
 'divebars' 'donuts' 'food' 'foodtrucks' 'gourmet' 'greek' 'grocery'
 'halal' 'himalayan' 'hotpot' 'icecream' 'indpak' 'japanese' 'juicebars'
 'korean' 'latin' 'mediterranean' 'mexican' 'newamerican' 'nicaraguan'
 'noodles' 'ramen' 'salvadoran' 'sandwiches' 'seafood' 'shavedice' 'soup'
 'tacos' 'tradamerican' 'vietnamese']"
6,7,90007,coffee mexican indpak latin bubbletea italian popupshops burgers noodles donuts sandwiches bars cafes tradamerican japanese icecream halal tapasmallplates seafood sushi honduran salvadoran restaurants hotdogs salad turkish breakfast_brunch gastropubs thai ramen juicebars hotdog bbq chicken_wings mediterranean desserts ethiopian african southern sportsbars newamerican foodtrucks,? grocery mexican burgers coffee pizza buffets breakfast_brunch sandwiches chinese salad newamerican streetvendors hotdogs mideastern ramen honduran seafood taiwanese halal hawaiian tradamerican customcakes himalayan cafes vegan beerbar chickenshop icecream gastropubs delis,? sandwiches newamerican peruvian juicebars salad tradamerican hotdogs burgers breakfast_brunch sushi soup bubbletea mideastern japanese venues icecream beergardens cupcakes mexican gluten_free vietnamese halal desserts donuts irish_pubs tex-mex,?,?,coffee mexican indpak latin bubbletea italian popupshops burgers noodles donuts sandwiches bars cafes tradamerican japanese icecream halal tapasmallplates seafood sushi honduran salvadoran restaurants hotdogs salad turkish breakfast_brunch gastropubs thai ramen juicebars hotdog bbq chicken_wings mediterranean desserts ethiopian african southern sportsbars newamerican foodtrucks ? grocery mexican burgers coffee pizza buffets breakfast_brunch sandwiches chinese salad newamerican streetvendors hotdogs mideastern ramen honduran seafood taiwanese halal hawaiian tradamerican customcakes himalayan cafes vegan beerbar chickenshop icecream gastropubs delis ? sandwiches newamerican peruvian juicebars salad tradamerican hotdogs burgers breakfast_brunch sushi soup bubbletea mideastern japanese venues icecream beergardens cupcakes mexican gluten_free vietnamese halal desserts donuts irish_pubs tex-mex ? ?,"['?' 'african' 'bars' 'bbq' 'beerbar' 'beergardens' 'breakfast_brunch'
 'bubbletea' 'buffets' 'burgers' 'cafes' 'chicken_wings' 'chickenshop'
 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis' 'desserts' 'donuts'
 'ethiopian' 'foodtrucks' 'gastropubs' 'gluten_free' 'grocery' 'halal'
 'hawaiian' 'himalayan' 'honduran' 'hotdog' 'hotdogs' 'icecream' 'indpak'
 'irish_pubs' 'italian' 'japanese' 'juicebars' 'latin' 'mediterranean'
 'mexican' 'mideastern' 'newamerican' 'noodles' 'peruvian' 'pizza'
 'popupshops' 'ramen' 'restaurants' 'salad' 'salvadoran' 'sandwiches'
 'seafood' 'soup' 'southern' 'sportsbars' 'streetvendors' 'sushi'
 'taiwanese' 'tapasmallplates' 'tex-mex' 'thai' 'tradamerican' 'turkish'
 'vegan' 'venues' 'vietnamese']","['?' 'african' 'bars' 'bbq' 'beerbar' 'beergardens' 'breakfast_brunch'
 'bubbletea' 'buffets' 'burgers' 'cafes' 'chicken_wings' 'chickenshop'
 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis' 'desserts' 'donuts'
 'ethiopian' 'foodtrucks' 'gastropubs' 'gluten_free' 'grocery' 'halal'
 'hawaiian' 'himalayan' 'honduran' 'hotdog' 'hotdogs' 'icecream' 'indpak'
 'irish_pubs' 'italian' 'japanese' 'juicebars' 'latin' 'mediterranean'
 'mexican' 'mideastern' 'newamerican' 'noodles' 'peruvian' 'pizza'
 'popupshops' 'ramen' 'restaurants' 'salad' 'salvadoran' 'sandwiches'
 'seafood' 'soup' 'southern' 'sportsbars' 'streetvendors' 'sushi'
 'taiwanese' 'tapasmallplates' 'tex-mex' 'thai' 'tradamerican' 'turkish'
 'vegan' 'venues' 'vietnamese']"
7,8,90008,breakfast_brunch seafood chicken_wings delis hotdogs tacos cajun cantonese coffee mexican burgers tradamerican catering donuts bakeries cafes desserts pizza hotdog caribbean,southern cajun sportsbars ? salad soulfood vegan halal food breakfast_brunch burgers coffee hotdogs italian mexican desserts cocktailbars,tradamerican ? vegan soulfood venues hawaiian southern chicken_wings juicebars coffee newamerican cupcakes,?,?,breakfast_brunch seafood chicken_wings delis hotdogs tacos cajun cantonese coffee mexican burgers tradamerican catering donuts bakeries cafes desserts pizza hotdog caribbean southern cajun sportsbars ? salad soulfood vegan halal food breakfast_brunch burgers coffee hotdogs italian mexican desserts cocktailbars tradamerican ? vegan soulfood venues hawaiian southern chicken_wings juicebars coffee newamerican cupcakes ? ?,"['?' 'bakeries' 'breakfast_brunch' 'burgers' 'cafes' 'cajun' 'cantonese'
 'caribbean' 'catering' 'chicken_wings' 'cocktailbars' 'coffee' 'cupcakes'
 'delis' 'desserts' 'donuts' 'food' 'halal' 'hawaiian' 'hotdog' 'hotdogs'
 'italian' 'juicebars' 'mexican' 'newamerican' 'pizza' 'salad' 'seafood'
 'soulfood' 'southern' 'sportsbars' 'tacos' 'tradamerican' 'vegan'
 'venues']","['?' 'bakeries' 'breakfast_brunch' 'burgers' 'cafes' 'cajun' 'cantonese'
 'caribbean' 'catering' 'chicken_wings' 'cocktailbars' 'coffee' 'cupcakes'
 'delis' 'desserts' 'donuts' 'food' 'halal' 'hawaiian' 'hotdog' 'hotdogs'
 'italian' 'juicebars' 'mexican' 'newamerican' 'pizza' 'salad' 'seafood'
 'soulfood' 'southern' 'sportsbars' 'tacos' 'tradamerican' 'vegan'
 'venues']"
8,9,90010,coffee hawaiian bars sushi delis japacurry korean breakfast_brunch bubbletea pizza bbq brazilian seafood karaoke icecream asianfusion sandwiches mongolian,desserts poke tradamerican japanese ? soup seafood coffee italian southern asianfusion buffets bbq cajun lounges hotpot noodles korean cheesesteaks cafes,gelato ? bars pastashops bbq cafes juicebars tradamerican french wine_bars asianfusion soup waffles newamerican korean,?,?,coffee hawaiian bars sushi delis japacurry korean breakfast_brunch bubbletea pizza bbq brazilian seafood karaoke icecream asianfusion sandwiches mongolian desserts poke tradamerican japanese ? soup seafood coffee italian southern asianfusion buffets bbq cajun lounges hotpot noodles korean cheesesteaks cafes gelato ? bars pastashops bbq cafes juicebars tradamerican french wine_bars asianfusion soup waffles newamerican korean ? ?,"['?' 'asianfusion' 'bars' 'bbq' 'brazilian' 'breakfast_brunch' 'bubbletea'
 'buffets' 'cafes' 'cajun' 'cheesesteaks' 'coffee' 'delis' 'desserts'
 'french' 'gelato' 'hawaiian' 'hotpot' 'icecream' 'italian' 'japacurry'
 'japanese' 'juicebars' 'karaoke' 'korean' 'lounges' 'mongolian'
 'newamerican' 'noodles' 'pastashops' 'pizza' 'poke' 'sandwiches'
 'seafood' 'soup' 'southern' 'sushi' 'tradamerican' 'waffles' 'wine_bars']","['?' 'asianfusion' 'bars' 'bbq' 'brazilian' 'breakfast_brunch' 'bubbletea'
 'buffets' 'cafes' 'cajun' 'cheesesteaks' 'coffee' 'delis' 'desserts'
 'french' 'gelato' 'hawaiian' 'hotpot' 'icecream' 'italian' 'japacurry'
 'japanese' 'juicebars' 'karaoke' 'korean' 'lounges' 'mongolian'
 'newamerican' 'noodles' 'pastashops' 'pizza' 'poke' 'sandwiches'
 'seafood' 'soup' 'southern' 'sushi' 'tradamerican' 'waffles' 'wine_bars']"
9,10,90011,burgers mexican soup salvadoran pizza streetvendors foodtrucks creperies donuts bakeries soulfood tacos juicebars indpak asianfusion,? tacos seafood chicken_wings mediterranean streetvendors coffee foodstands breakfast_brunch mexican hotdogs southern cuban icecream catering foodtrucks sandwiches,? sandwiches icecream mexican hawaiian indonesian catering,?,?,burgers mexican soup salvadoran pizza streetvendors foodtrucks creperies donuts bakeries soulfood tacos juicebars indpak asianfusion ? tacos seafood chicken_wings mediterranean streetvendors coffee foodstands breakfast_brunch mexican hotdogs southern cuban icecream catering foodtrucks sandwiches ? sandwiches icecream mexican hawaiian indonesian catering ? ?,"['?' 'asianfusion' 'bakeries' 'breakfast_brunch' 'burgers' 'catering'
 'chicken_wings' 'coffee' 'creperies' 'cuban' 'donuts' 'foodstands'
 'foodtrucks' 'hawaiian' 'hotdogs' 'icecream' 'indonesian' 'indpak'
 'juicebars' 'mediterranean' 'mexican' 'pizza' 'salvadoran' 'sandwiches'
 'seafood' 'soulfood' 'soup' 'southern' 'streetvendors' 'tacos']","['?' 'asianfusion' 'bakeries' 'breakfast_brunch' 'burgers' 'catering'
 'chicken_wings' 'coffee' 'creperies' 'cuban' 'donuts' 'foodstands'
 'foodtrucks' 'hawaiian' 'hotdogs' 'icecream' 'indonesian' 'indpak'
 'juicebars' 'mediterranean' 'mexican' 'pizza' 'salvadoran' 'sandwiches'
 'seafood' 'soulfood' 'soup' 'southern' 'streetvendors' 'tacos']"
