,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
0,90000,1,34.000532,-118.46558600000002,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Venice
1,90001,30,33.97652996342571,-118.24922960392675,18,12,0,0,0,0,0,0,0,6,8,13,3,30,Los Angeles
2,90002,4,33.948102225,-118.24858227499999,3,1,0,0,0,0,0,0,0,0,3,1,0,4,Los Angeles
3,90003,20,33.971906278784175,-118.27253932256346,16,4,0,0,0,0,0,1,1,3,7,7,1,20,Los Angeles
4,90004,29,34.076563012499825,-118.31033147603273,10,19,0,0,0,0,0,0,0,1,19,6,3,29,Los Angeles
5,90005,45,34.0590833702854,-118.29883462561476,11,33,1,0,0,0,0,0,1,6,23,15,0,45,Los Angeles
6,90006,60,34.04931887293776,-118.29643691357127,22,37,1,0,0,0,0,0,0,11,28,21,0,60,Los Angeles
7,90007,91,34.02579328299164,-118.28317041898032,50,41,0,0,0,0,0,4,10,22,26,25,4,91,Los Angeles
8,90008,30,34.00900099124261,-118.33220868980888,16,14,0,0,0,2,2,2,1,7,7,7,2,30,Los Angeles
9,90010,34,34.061804977851104,-118.30319744479465,13,20,1,0,0,0,0,0,0,2,19,13,0,34,Los Angeles
10,90011,30,34.003180940413266,-118.26293410631021,23,6,1,0,0,0,0,0,0,1,8,16,5,30,Los Angeles
11,90012,125,34.055361400496714,-118.2396544794888,43,69,11,2,0,0,0,0,1,24,65,32,3,125,Los Angeles
12,90013,105,34.04726812375652,-118.24479296522826,27,71,5,2,0,0,0,0,1,12,55,34,3,105,Los Angeles
13,90014,54,34.044896001206034,-118.25276107988176,11,40,1,2,0,0,0,0,1,8,25,17,3,54,Los Angeles
14,90015,48,34.041507877425055,-118.26235210609485,12,29,6,1,0,0,0,0,1,10,20,14,3,48,Los Angeles
15,90016,25,34.029732880441784,-118.34356658262945,9,16,0,0,0,0,1,1,2,2,15,3,1,25,Los Angeles
16,90017,105,34.05087979824808,-118.262324709184,42,53,8,2,0,0,2,2,6,29,43,20,3,105,Los Angeles
17,90018,32,34.033030024393994,-118.31494878794312,23,8,1,0,0,0,0,1,3,8,11,8,1,32,Los Angeles
18,90019,63,34.0500232456072,-118.3379185378689,29,32,2,0,0,0,0,0,1,12,23,27,0,63,Los Angeles
19,90020,60,34.064826081562636,-118.30056771234742,13,44,2,1,0,0,0,0,0,4,33,22,1,60,Los Angeles
20,90021,32,34.033566050849764,-118.23581516698707,9,20,2,1,0,0,0,0,0,1,10,17,4,32,Los Angeles
21,90022,36,34.02744859424704,-118.15519343738599,22,14,0,0,0,0,0,0,0,2,15,15,4,36,Los Angeles
22,90023,14,34.02705311174902,-118.2096088039912,10,4,0,0,0,0,0,0,0,1,5,7,1,14,Los Angeles
23,90024,89,34.06000635677735,-118.44270501462032,29,56,4,0,0,0,0,0,7,25,42,14,1,89,Los Angeles
24,90025,89,34.04395383987653,-118.44703787164222,21,60,5,3,0,0,0,0,0,18,53,14,4,89,Los Angeles
25,90026,72,34.079412266060984,-118.26632272911034,28,42,2,0,0,0,2,0,1,9,35,22,3,72,Los Angeles
26,90027,71,34.10378717327188,-118.29160256351379,19,51,1,0,0,0,0,0,0,14,33,21,3,71,Los Angeles
27,90028,99,34.13334238471312,-118.34104278390713,30,56,12,1,0,0,0,1,1,16,48,33,0,99,Los Angeles
28,90029,38,34.09005915155358,-118.29098377739362,10,26,1,1,0,0,0,0,0,2,16,19,1,38,Los Angeles
29,90031,22,34.07212592397424,-118.21181427944626,17,5,0,0,0,0,0,0,1,2,8,10,1,22,Los Angeles
30,90032,67,34.079634603821866,-118.17402836613002,56,11,0,0,0,2,1,5,5,14,18,16,6,67,Los Angeles
31,90033,64,34.047541916951744,-118.21174522407391,47,17,0,0,0,0,0,0,1,5,22,25,11,64,Los Angeles
32,90034,37,34.02549451806356,-118.40355179401696,14,21,0,2,0,0,0,0,0,6,20,11,0,37,Los Angeles
33,90035,39,34.05423683957164,-118.38375122947589,6,31,2,0,0,0,0,0,0,8,16,14,1,39,Los Angeles
34,90036,77,34.070204865118406,-118.35199614639326,13,59,5,0,0,0,0,0,1,14,42,17,3,77,Los Angeles
35,90037,32,34.00568974515301,-118.28785939617578,20,12,0,0,0,1,1,0,1,10,8,7,4,32,Los Angeles
36,90038,39,34.087671398288705,-118.3315960523464,9,21,6,3,0,0,0,0,0,1,25,13,0,39,Los Angeles
37,90039,38,34.11451936965506,-118.26071717032796,9,27,2,0,0,0,0,0,0,6,20,11,1,38,Los Angeles
38,90040,14,33.99613829837722,-118.16145605082171,8,6,0,0,0,0,0,0,1,2,2,8,1,14,Commerce
39,90041,88,34.1359411449118,-118.2102634936768,41,47,0,0,0,0,0,1,6,16,34,30,1,88,Los Angeles
40,90042,94,34.11442805393368,-118.19589784057305,49,44,1,0,0,0,0,1,5,14,43,28,3,94,Los Angeles
41,90043,24,33.98659982079089,-118.3332552886604,14,10,0,0,0,0,0,1,3,5,11,3,1,24,Los Angeles
